"ID","NOMBRE_EMP","NOMBRE_FAE","REGIÓN_IN","PROVINCIA","COMUNA_INS","NOMBRE_INS","TIPO_INSTA","RECOBRERSO","UTM_NORTE","UTM_ESTE","LATITUD","LONGITUD","ESTADO_INS","METODO_CONS","NEAR_DIST","VOL_AUTORIZADO","VOL_ACTUAL","TOS/IUTORIZADO","TOS/ICTUAL","RES_APRUEBA","RES_PDC_APRUEBA","RES_PDC_FECHA","RES_APRUEBA_FECHA"
"634","DARIO CORTES","PLANTA PUNTA CALETONES","IV","ELQUI","ANDACOLLO","PUNTA CALETONES 3","TRANQUE DE RELAVE","COBRE-ORO","6654634.07","300207.04","-30.2234","-71.0760","INACTIVO","AGUAS ARRIBA","3956.5662026342","6000","0","9000","0","S/I","S/I","S/I","S/I"
"635","MINERA SANTA SILVIA S.A.","PLANTA LA HIGUERA (EX LOS MOLLES)","IV","ELQUI","LA HIGUERA","LA HIGUERA 1","TRANQUE DE RELAVE","COBRE-ORO","6732449.49","283943.89","-29.5189","-71.2292","INACTIVO","S/I","3135.0224301575","260000","0","390000","0","S/I","S/I","S/I","S/I"
"636","MINERA SANTA SILVIA S.A.","PLANTA LA HIGUERA (EX LOS MOLLES)","IV","ELQUI","LA HIGUERA","LA HIGUERA 2","TRANQUE DE RELAVE","COBRE-ORO","6732511.66","283871.13","-29.5183","-71.2299","INACTIVO","S/I","3198.9720126879","160000","0","240000","0","S/I","S/I","S/I","S/I"
"637","MINERA SANTA SILVIA S.A.","PLANTA LA HIGUERA (EX LOS MOLLES)","IV","ELQUI","LA HIGUERA","LA HIGUERA 3","TRANQUE DE RELAVE","COBRE-ORO","6732440.22","283864.51","-29.5190","-71.2300","INACTIVO","S/I","3214.9074186887","80000","0","120000","0","S/I","S/I","S/I","S/I"
"638","MINERA SANTA SILVIA S.A.","PLANTA LA HIGUERA (EX LOS MOLLES)","IV","ELQUI","LA HIGUERA","LA HIGUERA 4","TRANQUE DE RELAVE","COBRE-ORO","6732425.67","283816.89","-29.5191","-71.2305","INACTIVO","S/I","3264.1257682166","20000","0","30000","0","S/I","S/I","S/I","S/I"
"639","MANUEL AGUIRRE BUSTAMANTE","FAENA LA FORTUNA","IV","CHOAPA","ILLAPEL","EMBALSE FORTUNA","EMBALSE","COBRE","6523111.67","301837.89","-31.4097","-71.0845","ACTIVO","EMBALSE","25677.597080452","31168","12510","46752","18765","1547","913","3/25/2014","11/3/2015"
"640","LUIS ZEBALLOS CERDA","PLANTA ZEBALLOS","IV","ELQUI","VICUÑA","ZEBALLOS 1-2-3","TRANQUE DE RELAVE","COBRE-ORO","6692720.94","318260.16","-29.8827","-70.8820","INACTIVO","AGUAS ABAJO","23671.655263704","111800","0","167700","0","211","S/I","S/I","2/7/1986"
"641","DPTO. MINAS U. LA SERENA","PLANTA GUAYACAN","IV","ELQUI","COQUIMBO","CUBETA 1","TRANQUE DE RELAVE","COBRE-ORO","6681991.87","273822.95","-29.9721","-71.3441","INACTIVO","S/I","877.77990116487","290","0","435","0","S/I","S/I","S/I","S/I"
"642","SERVICIOS Y OPERACIONES MINERAS DEL NORTE S.A.","FAENA TAMBILLOS","IV","ELQUI","COQUIMBO","TRANQUE DE RELAVE 1","TRANQUE DE RELAVE","ORO-COBRE","6656742.78","283900.16","-30.2016","-71.2449","INACTIVO","AGUAS ARRIBA","15544.189376827","320160","0","480240","0","1038","S/I","S/I","6/1/2009"
"643","SERVICIOS Y OPERACIONES MINERAS DEL NORTE S.A.","FAENA TAMBILLOS","IV","ELQUI","COQUIMBO","TRANQUE DE RELAVE 3A-4A","TRANQUE DE RELAVE","ORO-COBRE","6656938.44","283855.96","-30.1998","-71.2453","INACTIVO","AGUAS ARRIBA","15657.066103389","4522","0","6783","0","S/I","S/I","S/I","S/I"
