Elapsed,Time,Pitch,Roll,Yaw,Latitude,Longitude,Altitude,Velocity,RTK Status,Latitude RTK,Longitude RTK,Altitude RTK,ALT:Altitude,ALT:Filtered Altitude,ECHO:Depth,ECHO:True Depth,ECHO:Temperature,ECHO:Pitch,ECHO:Roll
493083,12:35:04.662,3.07,1.56,-139.71,56.12780072,9.95486742,0.04,0.19,ON,56.12777990,9.95484236,58.69,0.06,0.06,0.000,0.000,11.98,0.1,-2.9
493177,12:35:04.756,1.81,0.34,-139.79,56.12780090,9.95486731,0.14,0.22,ON,56.12777990,9.95484236,58.69,0.06,0.06,0.000,0.000,11.98,0.1,-3.0
493273,12:35:04.852,0.57,-0.76,-139.80,56.12780107,9.95486718,0.14,0.21,ON,56.12778013,9.95484230,58.81,0.06,0.06,0.000,0.000,11.88,0.1,-3.0
493367,12:35:04.946,-0.13,-1.31,-139.78,56.12780120,9.95486706,0.25,0.20,ON,56.12778013,9.95484230,58.81,0.06,0.06,0.000,0.000,11.98,0.0,-3.0
493466,12:35:05.045,-0.64,-1.67,-139.73,56.12780133,9.95486689,0.25,0.16,ON,56.12778036,9.95484209,58.94,0.06,0.06,0.000,0.000,11.98,0.0,-3.0
493568,12:35:05.147,-0.65,-1.66,-139.68,56.12780149,9.95486661,0.33,0.13,ON,56.12778036,9.95484209,58.94,0.28,0.28,0.000,0.000,11.98,0.0,-3.0
493666,12:35:05.245,-0.35,-1.52,-139.66,56.12780155,9.95486643,0.33,0.11,ON,56.12778054,9.95484182,59.03,0.39,0.39,0.000,0.000,11.98,0.0,-3.0
493767,12:35:05.346,0.16,-1.50,-139.62,56.12780152,9.95486630,0.41,0.11,ON,56.12778054,9.95484182,59.03,0.37,0.37,0.000,0.000,11.98,0.0,-3.0
493867,12:35:05.446,0.64,-1.51,-139.56,56.12780146,9.95486614,0.41,0.12,ON,56.12778055,9.95484145,59.10,0.34,0.34,0.000,0.000,11.88,0.0,-3.0
493967,12:35:05.546,0.60,-1.43,-139.52,56.12780121,9.95486592,0.48,0.14,ON,56.12778055,9.95484145,59.10,0.36,0.36,0.000,0.000,11.88,0.0,-3.0
494068,12:35:05.647,0.30,-1.30,-139.52,56.12780108,9.95486570,0.48,0.16,ON,56.12778049,9.95484101,59.15,0.38,0.38,0.000,0.000,11.88,0.0,-3.0
494167,12:35:05.746,-0.08,-1.09,-139.51,56.12780096,9.95486557,0.51,0.19,ON,56.12778049,9.95484101,59.15,0.41,0.41,0.000,0.000,11.88,0.0,-3.0
494266,12:35:05.845,-0.50,-0.77,-139.54,56.12780082,9.95486539,0.51,0.22,ON,56.12778023,9.95484055,59.18,0.41,0.41,0.000,0.000,11.98,0.0,-3.0
494367,12:35:05.946,-0.94,-0.48,-139.61,56.12780065,9.95486516,0.52,0.27,ON,56.12778023,9.95484055,59.18,0.44,0.44,0.000,0.000,11.98,0.0,-3.0
494467,12:35:06.046,-1.38,-0.45,-139.65,56.12780045,9.95486485,0.52,0.31,ON,56.12777983,9.95483997,59.21,0.46,0.46,0.000,0.000,11.88,0.0,-3.0
494573,12:35:06.152,-1.64,-0.55,-139.69,56.12780026,9.95486448,0.55,0.37,ON,56.12777983,9.95483997,59.21,0.47,0.47,0.000,0.000,11.98,0.0,-3.0
494666,12:35:06.245,-1.67,-0.57,-139.77,56.12780002,9.95486407,0.55,0.43,ON,56.12777933,9.95483930,59.24,0.48,0.48,0.000,0.000,11.88,0.0,-3.0
494766,12:35:06.345,-1.44,-0.44,-139.80,56.12779973,9.95486339,0.59,0.49,ON,56.12777933,9.95483930,59.24,0.49,0.49,0.000,0.000,11.88,0.0,-3.0
494866,12:35:06.445,-0.94,-0.35,-139.82,56.12779937,9.95486283,0.59,0.54,ON,56.12777869,9.95483841,59.27,0.52,0.52,0.000,0.000,11.98,0.0,-3.0
494967,12:35:06.546,-0.51,-0.25,-139.85,56.12779898,9.95486221,0.63,0.58,ON,56.12777869,9.95483841,59.27,0.53,0.53,0.000,0.000,11.88,0.0,-3.0
495068,12:35:06.647,-0.14,-0.01,-139.85,56.12779857,9.95486161,0.63,0.61,ON,56.12777785,9.95483733,59.30,0.55,0.55,0.000,0.000,11.98,0.0,-3.0
495167,12:35:06.746,0.16,0.04,-139.88,56.12779811,9.95486101,0.68,0.63,ON,56.12777785,9.95483733,59.30,0.56,0.56,0.000,0.000,11.88,0.0,-3.0
495266,12:35:06.845,0.35,0.14,-139.95,56.12779770,9.95486037,0.68,0.65,ON,56.12777693,9.95483615,59.35,0.60,0.60,0.000,0.000,12.07,0.0,-3.0
495367,12:35:06.946,0.55,0.23,-140.04,56.12779718,9.95485971,0.72,0.67,ON,56.12777693,9.95483615,59.35,0.62,0.62,0.000,0.000,11.98,0.0,-3.0
495466,12:35:07.045,0.73,0.19,-140.12,56.12779668,9.95485905,0.72,0.68,ON,56.12777592,9.95483489,59.39,0.63,0.63,0.000,0.000,11.98,0.0,-3.0
495569,12:35:07.148,1.02,0.24,-140.15,56.12779615,9.95485833,0.77,0.68,ON,56.12777592,9.95483489,59.39,0.65,0.65,0.000,0.000,11.98,0.0,-3.0
495666,12:35:07.245,1.27,0.33,-140.13,56.12779556,9.95485753,0.77,0.69,ON,56.12777486,9.95483365,59.44,0.67,0.67,0.000,0.000,11.98,0.0,-3.0
495767,12:35:07.346,1.27,0.50,-140.09,56.12779503,9.95485678,0.82,0.70,ON,56.12777486,9.95483365,59.44,0.70,0.70,0.000,0.000,11.98,0.0,-3.0
495867,12:35:07.446,1.16,0.67,-140.02,56.12779453,9.95485610,0.82,0.70,ON,56.12777378,9.95483228,59.49,0.73,0.73,0.000,0.000,11.88,0.0,-3.0
495967,12:35:07.546,1.18,0.79,-139.96,56.12779400,9.95485548,0.88,0.71,ON,56.12777378,9.95483228,59.49,0.75,0.75,0.000,0.000,11.98,0.0,-3.0
496069,12:35:07.648,1.12,0.93,-139.91,56.12779349,9.95485501,0.88,0.72,ON,56.12777271,9.95483084,59.55,0.77,0.77,0.000,0.000,12.07,0.0,-3.0
496167,12:35:07.746,1.17,0.89,-139.87,56.12779297,9.95485431,0.94,0.73,ON,56.12777271,9.95483084,59.55,0.81,0.81,0.000,0.000,11.88,0.0,-3.0
496266,12:35:07.845,2.00,0.82,-139.86,56.12779247,9.95485360,0.94,0.73,ON,56.12777166,9.95482939,59.59,0.83,0.83,0.000,0.000,11.98,0.0,-3.0
496367,12:35:07.946,3.52,0.67,-139.87,56.12779193,9.95485276,1.00,0.72,ON,56.12777166,9.95482939,59.59,0.85,0.85,0.000,0.000,11.98,0.0,-3.0
496466,12:35:08.045,4.96,0.44,-139.83,56.12779142,9.95485182,1.00,0.68,ON,56.12777063,9.95482804,59.64,0.87,0.87,0.000,0.000,11.98,0.0,-3.0
496568,12:35:08.147,5.95,0.30,-139.80,56.12779097,9.95485109,1.06,0.62,ON,56.12777063,9.95482804,59.64,0.89,0.89,0.000,0.000,11.88,0.0,-3.0
496668,12:35:08.247,6.50,0.10,-139.79,56.12779059,9.95485046,1.06,0.54,ON,56.12776971,9.95482662,59.70,0.94,0.94,0.000,0.000,11.88,0.0,-3.0
496767,12:35:08.346,6.56,0.05,-139.75,56.12779022,9.95484989,1.11,0.46,ON,56.12776971,9.95482662,59.70,0.97,0.97,0.000,0.000,11.88,0.1,-3.0
496866,12:35:08.445,6.12,0.21,-139.71,56.12778992,9.95484948,1.11,0.38,ON,56.12776895,9.95482558,59.75,0.98,0.98,0.000,0.000,11.98,0.1,-2.9
496966,12:35:08.545,5.60,0.35,-139.66,56.12778959,9.95484942,1.18,0.31,ON,56.12776895,9.95482558,59.75,1.01,1.01,0.000,0.000,11.88,0.1,-2.9
497069,12:35:08.648,5.01,0.39,-139.64,56.12778940,9.95484919,1.18,0.25,ON,56.12776840,9.95482479,59.81,1.02,1.02,0.000,0.000,11.98,0.1,-2.9
