latitude;longitude;depth
56.12778194;9.95481105;0.0
56.12778238;9.95481029;0.0
56.12778275;9.95480943;0.0
56.12778315;9.95480851;0.0
56.12778364;9.95480746;0.0
56.12778422;9.95480642;0.0
56.12778492;9.95480519;0.0
56.12778569;9.95480403;0.0
56.12778659;9.95480285;0.0
56.12778746;9.95480157;0.0
56.12778846;9.9548002;0.0
56.12778949;9.9547989;0.0
56.12779068;9.95479753;0.0
56.12779188;9.95479622;0.0
56.12779311;9.95479505;0.0
56.12779447;9.95479365;0.0
56.12779606;9.95479209;0.0
56.12779766;9.95479057;0.0
56.12779958;9.95478896;0.0
56.12780132;9.9547874;0.0
56.12780317;9.95478572;0.0
56.12780496;9.95478413;0.0
56.12780667;9.9547824;0.0
56.12780856;9.95478071;0.0
56.12781067;9.95477884;0.0
56.12781273;9.95477693;0.0
56.12781484;9.9547747;0.0
56.12781704;9.9547724;0.0
56.12781945;9.95476976;0.0
56.1278218;9.9547672;0.0
56.12782433;9.95476449;0.0
56.12782668;9.95476182;0.0
56.12782939;9.95475888;0.0
56.12783205;9.95475602;0.0
56.12783492;9.95475293;0.0
56.12783773;9.95474982;0.0
56.12784074;9.9547467;0.0
56.12784365;9.95474384;0.0
56.12784679;9.95474101;0.0
56.12784986;9.95473837;0.0
56.12785313;9.95473543;0.0
56.12785629;9.95473269;0.0
56.12785968;9.9547299;0.0
56.12786283;9.95472733;0.0
56.12786644;9.95472437;0.0
56.12786997;9.95472155;0.0
56.12787377;9.9547186;0.0
56.12787745;9.95471582;0.0
56.12788148;9.95471294;0.0
56.12788528;9.95471024;0.0
56.1278893;9.95470743;0.0
56.12789319;9.95470485;0.0
56.12789738;9.95470225;0.0
56.12790141;9.95469984;0.0
56.12790568;9.95469735;0.0
56.12790984;9.954695;0.0
56.12791422;9.95469258;0.0
56.12791853;9.95469012;0.0
56.12792315;9.95468745;0.0
56.12792759;9.95468487;0.0
56.1279323;9.95468197;0.0
56.1279368;9.95467934;0.0
56.12794155;9.9546766;0.0
56.12794609;9.954674;0.0
56.12795087;9.95467132;0.0
56.12795544;9.95466885;0.0
56.12796034;9.95466615;0.0
56.12796506;9.95466361;0.0
56.12797008;9.95466098;0.0
56.12797491;9.95465857;0.0
56.12798012;9.95465577;0.0
56.1279851;9.95465306;0.0
56.12799034;9.95465017;0.0
56.12799559;9.95464724;0.0
56.12800082;9.95464416;0.0
56.12800572;9.95464117;0.0
56.1280107;9.954638;0.0
56.12801513;9.95463508;0.0
56.12802019;9.95463174;0.0
56.128025;9.9546285;0.0
56.12803008;9.95462504;0.0
56.12803488;9.95462171;0.0
56.12804001;9.95461825;0.0
56.12804478;9.95461488;0.0
56.1280498;9.95461134;0.0
56.12805455;9.95460792;0.0
56.12805952;9.95460425;0.0
56.12806427;9.95460077;0.0
56.12806933;9.95459715;0.0
56.12807411;9.9545937;0.0
56.12807918;9.95458998;0.0
56.12808381;9.95458655;0.0
56.12808859;9.95458298;0.0
56.12809314;9.95457966;0.0
56.1280978;9.95457666;0.0
56.12810238;9.95457341;0.0
56.12810715;9.95456988;0.0
56.12811161;9.95456648;0.0
56.12811615;9.95456285;0.0
56.12812011;9.95455935;0.0
56.12812483;9.95455547;0.0
56.12812932;9.95455175;0.0
56.12813405;9.95454784;0.0
56.12813879;9.95454403;0.0
56.12814361;9.95454;0.0
56.12814821;9.95453604;0.0
56.12815307;9.95453171;0.0
56.12815781;9.95452749;0.0
56.12816264;9.95452323;0.0
56.12816723;9.95451921;0.0
56.12817207;9.95451504;0.0
56.12817658;9.95451125;0.0
56.12818142;9.95450693;0.0
56.12818606;9.95450274;0.0
56.12819098;9.95449823;0.0
56.12819558;9.95449397;0.0
56.12820003;9.95448961;0.0
56.12820446;9.9544854;0.0
56.12820912;9.95448093;0.0
56.12821358;9.95447667;0.0
56.12821828;9.95447227;0.0
56.1282228;9.95446799;0.0
56.12822756;9.95446349;0.0
56.12823208;9.9544592;0.0
56.12823692;9.95445467;0.0
56.12824138;9.95445029;0.0
56.12824604;9.95444563;0.0
56.12825045;9.9544411;0.0
56.12825512;9.95443625;0.0
56.12825945;9.95443154;0.0
56.12826393;9.95442654;0.0
56.12826817;9.95442173;0.0
56.12827264;9.95441663;0.0
56.12827676;9.95441169;0.0
56.12828116;9.95440662;0.0
56.12828536;9.95440182;0.0
56.1282898;9.95439681;0.0
56.12829392;9.95439223;0.0
56.12829836;9.95438718;0.0
56.12830263;9.95438227;0.0
56.12830716;9.95437696;0.0
56.12831154;9.95437179;0.0
56.12831584;9.95436665;0.0
56.12831993;9.95436168;0.0
56.12832424;9.95435634;0.0
56.12832818;9.95435141;0.0
56.12833248;9.95434594;0.0
56.12833657;9.95434068;0.0
56.12834085;9.9543351;0.0
56.12834494;9.95432975;0.0
56.12834931;9.95432391;0.0
56.12835347;9.95431851;0.0
56.12835789;9.95431285;0.0
56.1283621;9.95430745;0.0
56.1283666;9.95430181;0.0
56.12837081;9.95429631;0.0
56.12837522;9.95429043;0.0
56.12837941;9.95428479;0.0
56.12838382;9.95427868;0.0
56.12838791;9.95427303;0.0
56.12839211;9.95426713;0.0
56.12839615;9.95426139;0.0
56.12840061;9.95425502;0.0
56.12840472;9.95424909;0.0
56.12840897;9.95424289;0.0
56.12841306;9.95423691;0.0
56.12841742;9.95423056;0.0
56.12842174;9.95422433;0.0
56.12842588;9.95421829;0.0
56.12842982;9.95421256;0.0
56.12843397;9.95420651;0.0
56.12843761;9.95420106;0.0
56.12844163;9.95419495;0.0
56.12844539;9.95418913;0.0
56.12844929;9.95418301;0.0
56.1284529;9.95417711;0.0
56.12845671;9.95417102;0.0
56.12846029;9.95416528;0.0
56.12846403;9.95415933;0.0
56.12846756;9.95415369;0.0
56.12847123;9.95414795;0.0
56.12847471;9.95414263;0.0
56.12847836;9.9541372;0.0
56.12848181;9.95413212;0.0
56.12848544;9.95412683;0.0
56.12848878;9.95412184;0.0
56.12849222;9.95411659;0.0
56.12849543;9.95411163;0.0
56.12849864;9.95410652;0.0
56.12850173;9.95410164;0.0
56.12850498;9.95409652;0.0
56.12850809;9.95409163;0.0
56.12851147;9.95408635;0.0
56.12851452;9.95408149;0.0
56.12851759;9.95407649;0.0
56.1285205;9.95407174;0.0
56.12852339;9.95406696;0.0
56.12852627;9.9540623;0.0
56.12852915;9.95405767;0.0
56.12853166;9.95405364;0.0
56.12853397;9.95404993;0.0
56.12853588;9.954047;0.0
56.12853754;9.95404444;0.0
56.12853878;9.95404262;0.0
56.12853973;9.95404133;0.0
56.12854024;9.95404058;0.0
56.12854073;9.95403975;0.0
56.12854109;9.95403907;0.0
56.12854141;9.95403839;0.0
56.12854147;9.95403754;0.0
56.12854171;9.95403698;0.0
56.12854193;9.95403652;0.0
56.12854216;9.95403612;0.0
56.12854232;9.95403562;0.0
56.12854243;9.95403532;0.0
56.12854252;9.95403508;0.0
56.1285426;9.95403488;0.0
56.12854265;9.9540348;0.0
56.12854273;9.95403495;0.0
56.12854267;9.95403514;0.0
56.12854252;9.95403549;0.0
56.12854234;9.95403584;0.0
56.12854209;9.95403636;0.0
56.12854189;9.9540367;0.0
56.12854165;9.95403708;0.0
56.12854146;9.95403742;0.0
56.12854135;9.95403777;0.0
56.12854121;9.95403803;0.0
56.12854104;9.95403823;0.0
56.1285409;9.95403837;0.0
56.12854058;9.95403853;0.0
56.12854054;9.95403858;0.0
56.12854057;9.95403859;0.0
56.12854067;9.9540385;0.0
56.12854087;9.9540383;0.0
56.12854108;9.95403832;0.0
56.12854122;9.95403804;0.0
56.12854138;9.95403773;0.0
56.12854157;9.95403736;0.0
56.12854155;9.95403701;0.0
56.1285417;9.95403662;0.0
56.12854187;9.95403628;0.0
56.1285421;9.95403598;0.0
56.12854227;9.95403569;0.0
56.12854241;9.95403538;0.0
56.12854251;9.95403511;0.0
56.1285426;9.95403485;0.0
56.12854277;9.95403452;0.0
56.12854284;9.95403452;0.0
56.12854285;9.9540346;0.0
56.12854278;9.95403479;0.0
56.12854271;9.95403508;0.0
56.12854278;9.95403577;0.0
56.12854266;9.95403612;0.0
56.12854244;9.95403637;0.0
56.12854225;9.95403667;0.0
56.12854205;9.95403737;0.0
56.12854192;9.95403773;0.0
56.12854176;9.95403797;0.0
56.12854166;9.95403811;0.0
56.12854161;9.95403788;0.0
56.12854159;9.95403788;0.0
56.12854158;9.95403794;0.0
56.12854159;9.9540379;0.0
56.12854156;9.95403774;0.0
56.12854158;9.95403756;0.0
56.12854158;9.95403738;0.0
56.12854164;9.95403717;0.0
56.1285418;9.95403691;0.0
56.12854195;9.95403649;0.0
56.12854206;9.95403624;0.0
56.12854216;9.95403605;0.0
56.12854226;9.95403593;0.0
56.12854244;9.95403578;0.0
56.12854252;9.95403565;0.0
56.12854257;9.95403558;0.0
56.12854259;9.95403557;0.0
56.12854266;9.95403557;0.0
56.12854257;9.95403563;0.0
56.12854246;9.95403567;0.0
56.12854232;9.95403567;0.0
56.12854193;9.95403554;0.0
56.1285418;9.95403563;0.0
56.12854167;9.95403573;0.0
56.12854155;9.95403585;0.0
56.12854145;9.95403596;0.0
56.12854134;9.95403609;0.0
56.1285413;9.95403619;0.0
56.12854128;9.95403629;0.0
56.12854127;9.95403635;0.0
56.12854125;9.95403645;0.0
56.12854125;9.95403644;0.0
56.12854124;9.95403637;0.0
56.12854125;9.95403629;0.0
56.12854115;9.95403614;0.0
56.12854118;9.95403603;0.0
56.12854123;9.9540359;0.0
56.12854126;9.95403577;0.0
56.12854125;9.95403554;0.0
56.12854127;9.95403545;0.0
56.12854129;9.95403539;0.0
56.12854131;9.95403535;0.0
56.12854132;9.95403533;0.0
