latitude,longitude,depth
-36.61313247,-72.35778045,17
-36.61313247,-72.35778045,17
-36.61313247,-72.35778045,17
-36.61313247,-72.35778045,17
-36.61313247,-72.35778045,17
-36.61313247,-72.35778045,17
-36.61313247,-72.35778045,14
-36.61313247,-72.35778045,14
-36.61313247,-72.35778045,14
-36.61313247,-72.35778045,13
-36.61313247,-72.35778045,13
-36.61313247,-72.35778045,13
-36.61313247,-72.35778045,13
-36.61313247,-72.35778045,12
-36.61313247,-72.35778045,12
-36.61313247,-72.35778045,12
-36.61313247,-72.35778045,12
-36.61313247,-72.35778045,9
-36.61313247,-72.35778045,9
-36.61313247,-72.35778045,9
-36.61313247,-72.35778045,8
-36.61313247,-72.35778045,8
-36.61313247,-72.35778045,8
-36.61313247,-72.35778045,8
-36.61313247,-72.35778045,5
-36.61313247,-72.35778045,5
-36.61314773,-72.35777282,5
-36.61314773,-72.35777282,5
-36.61314773,-72.35777282,5
-36.61314773,-72.35777282,5
-36.61314773,-72.35777282,5
-36.61314773,-72.35777282,2
-36.61314773,-72.35777282,2
-36.61314773,-72.35777282,2
-36.61314773,-72.35777282,2
-36.61314773,-72.35777282,0
-36.61314773,-72.35777282,0
-36.61314773,-72.35777282,0
-36.61314773,-72.35777282,3
-36.61314773,-72.35777282,3
-36.61315536,-72.35777282,3
-36.61315536,-72.35777282,3
-36.61315536,-72.35777282,3
-36.61315536,-72.35777282,3
-36.61315536,-72.35777282,3
-36.61315536,-72.35777282,3
-36.61315536,-72.35777282,3
-36.61315536,-72.35777282,3
-36.61315536,-72.35777282,3
-36.61315536,-72.35777282,8
-36.61315536,-72.35777282,8
-36.61315536,-72.35777282,8
-36.61315536,-72.35777282,8
-36.61315536,-72.35777282,11
-36.61315917,-72.35777282,11
-36.61315917,-72.35777282,11
-36.61315917,-72.35777282,11
-36.61315917,-72.35777282,19
-36.61315917,-72.35777282,19
-36.61315917,-72.35777282,19
-36.61315917,-72.35777282,15
-36.61315917,-72.35777282,15
-36.61315917,-72.35777282,15
-36.61315917,-72.35777282,15
-36.61315917,-72.35777282,14
-36.61315917,-72.35777282,14
-36.61315917,-72.35777282,14
-36.61315917,-72.35777282,17
-36.61315917,-72.35777282,17
-36.61316299,-72.35777282,17
-36.61316299,-72.35777282,17
-36.61316299,-72.35777282,17
-36.61316299,-72.35777282,17
-36.61316299,-72.35777282,17
-36.61316299,-72.35777282,17
-36.61316299,-72.35777282,18
-36.61316299,-72.35777282,18
-36.61316299,-72.35777282,18
-36.61316299,-72.35777282,25
-36.61316299,-72.35777282,25
-36.61316299,-72.35777282,25
-36.61316299,-72.35777282,25
-36.61316299,-72.35777282,28
-36.61316299,-72.35777282,28
-36.61316299,-72.35777282,28
-36.61316299,-72.35777282,28
-36.61316299,-72.35777282,28
-36.61316299,-72.35777282,28
-36.61316299,-72.35777282,28
-36.61316299,-72.35777282,35
-36.61316299,-72.35777282,35
-36.61316299,-72.35777282,35
-36.61316299,-72.35777282,35
-36.61316299,-72.35777282,39
-36.61316299,-72.35777282,39
-36.61316680,-72.35777282,39
-36.61316680,-72.35777282,39
-36.61316680,-72.35777282,39
-36.61316680,-72.35777282,39
-36.61316680,-72.35777282,39
-36.61316680,-72.35777282,40
-36.61316680,-72.35777282,40
-36.61316680,-72.35777282,40
-36.61316680,-72.35777282,40
-36.61316680,-72.35777282,45
-36.61316680,-72.35777282,45
