latitude,longitude,high,depth
-36.61313247,-72.35778045,1064,17
-36.61313247,-72.35778045,1064,17
-36.61313247,-72.35778045,1092,17
-36.61313247,-72.35778045,1092,17
-36.61313247,-72.35778045,1092,17
-36.61313247,-72.35778045,1092,17
-36.61313247,-72.35778045,1121,14
-36.61313247,-72.35778045,1121,14
-36.61313247,-72.35778045,1121,14
-36.61313247,-72.35778045,1159,13
-36.61313247,-72.35778045,1159,13
-36.61313247,-72.35778045,1159,13
-36.61313247,-72.35778045,1159,13
-36.61313247,-72.35778045,1191,12
-36.61313247,-72.35778045,1191,12
-36.61313247,-72.35778045,1191,12
-36.61313247,-72.35778045,1191,12
-36.61313247,-72.35778045,1227,9
-36.61313247,-72.35778045,1227,9
-36.61313247,-72.35778045,1227,9
-36.61313247,-72.35778045,1272,8
-36.61313247,-72.35778045,1272,8
-36.61313247,-72.35778045,1272,8
-36.61313247,-72.35778045,1272,8
-36.61313247,-72.35778045,1315,5
-36.61313247,-72.35778045,1315,5
-36.61314773,-72.35777282,1315,5
-36.61314773,-72.35777282,1364,5
-36.61314773,-72.35777282,1364,5
-36.61314773,-72.35777282,1364,5
-36.61314773,-72.35777282,1364,5
-36.61314773,-72.35777282,1414,2
-36.61314773,-72.35777282,1414,2
-36.61314773,-72.35777282,1414,2
-36.61314773,-72.35777282,1414,2
-36.61314773,-72.35777282,1469,0
-36.61314773,-72.35777282,1469,0
-36.61314773,-72.35777282,1469,0
-36.61314773,-72.35777282,1525,3
-36.61314773,-72.35777282,1525,3
-36.61315536,-72.35777282,1525,3
-36.61315536,-72.35777282,1525,3
-36.61315536,-72.35777282,1572,3
-36.61315536,-72.35777282,1572,3
-36.61315536,-72.35777282,1572,3
-36.61315536,-72.35777282,1572,3
-36.61315536,-72.35777282,1600,3
-36.61315536,-72.35777282,1600,3
-36.61315536,-72.35777282,1600,3
-36.61315536,-72.35777282,1648,8
-36.61315536,-72.35777282,1648,8
-36.61315536,-72.35777282,1648,8
-36.61315536,-72.35777282,1648,8
-36.61315536,-72.35777282,1704,11
-36.61315917,-72.35777282,1704,11
-36.61315917,-72.35777282,1704,11
-36.61315917,-72.35777282,1704,11
-36.61315917,-72.35777282,1742,19
-36.61315917,-72.35777282,1742,19
-36.61315917,-72.35777282,1742,19
-36.61315917,-72.35777282,1790,15
-36.61315917,-72.35777282,1790,15
-36.61315917,-72.35777282,1790,15
-36.61315917,-72.35777282,1790,15
-36.61315917,-72.35777282,1834,14
-36.61315917,-72.35777282,1834,14
-36.61315917,-72.35777282,1834,14
-36.61315917,-72.35777282,1894,17
-36.61315917,-72.35777282,1894,17
-36.61316299,-72.35777282,1894,17
-36.61316299,-72.35777282,1894,17
-36.61316299,-72.35777282,1944,17
-36.61316299,-72.35777282,1944,17
-36.61316299,-72.35777282,1944,17
-36.61316299,-72.35777282,1944,17
-36.61316299,-72.35777282,1982,18
-36.61316299,-72.35777282,1982,18
-36.61316299,-72.35777282,1982,18
-36.61316299,-72.35777282,2016,25
-36.61316299,-72.35777282,2016,25
-36.61316299,-72.35777282,2016,25
-36.61316299,-72.35777282,2016,25
-36.61316299,-72.35777282,2050,28
-36.61316299,-72.35777282,2050,28
-36.61316299,-72.35777282,2050,28
-36.61316299,-72.35777282,2050,28
-36.61316299,-72.35777282,2110,28
-36.61316299,-72.35777282,2110,28
-36.61316299,-72.35777282,2110,28
-36.61316299,-72.35777282,2151,35
-36.61316299,-72.35777282,2151,35
-36.61316299,-72.35777282,2151,35
-36.61316299,-72.35777282,2151,35
-36.61316299,-72.35777282,2182,39
-36.61316299,-72.35777282,2182,39
-36.61316680,-72.35777282,2182,39
-36.61316680,-72.35777282,2214,39
-36.61316680,-72.35777282,2214,39
-36.61316680,-72.35777282,2214,39
-36.61316680,-72.35777282,2214,39
-36.61316680,-72.35777282,2234,40
-36.61316680,-72.35777282,2234,40
-36.61316680,-72.35777282,2234,40
-36.61316680,-72.35777282,2234,40
-36.61316680,-72.35777282,2275,45
-36.61316680,-72.35777282,2275,45
-36.61316680,-72.35777282,2275,45
-36.61316680,-72.35777282,2402,40
-36.61316680,-72.35777282,2402,40
-36.61316299,-72.35777282,2402,40
-36.61316299,-72.35777282,2402,40
-36.61316299,-72.35777282,2446,32
-36.61316299,-72.35777282,2446,32
-36.61316299,-72.35777282,2446,32
-36.61316299,-72.35777282,2446,32
-36.61316299,-72.35777282,2499,32
-36.61316299,-72.35777282,2579,36
-36.61316299,-72.35777282,2579,36
-36.61316299,-72.35777282,2579,36
-36.61316299,-72.35777282,2635,28
-36.61316299,-72.35777282,2635,28
-36.61316299,-72.35777282,2635,28
-36.61316299,-72.35777282,2694,22
-36.61316299,-72.35777282,2694,22
-36.61316299,-72.35777282,2694,22
-36.61316299,-72.35777282,2694,22
-36.61316299,-72.35777282,2445,15
-36.61316299,-72.35777282,2445,15
-36.61316299,-72.35777282,2445,15
-36.61316299,-72.35777282,2445,15
-36.61316299,-72.35777282,2804,19
-36.61316299,-72.35777282,2804,19
-36.61316299,-72.35777282,2804,19
-36.61316299,-72.35777282,2996,6
-36.61316299,-72.35777282,2996,6
-36.61316299,-72.35777282,2996,6
